x,f(x)
-3.0000000000,3.0308502900
-2.9700000000,2.9410757458
-2.9400000000,2.8538849190
-2.9100000000,2.7743864960
-2.8800000000,2.7070020234
-2.8500000000,2.6550709449
-2.8200000000,2.6205522982
-2.7900000000,2.6038497208
-2.7600000000,2.6037753934
-2.7300000000,2.6176561448
-2.7000000000,2.6415722383
-2.6700000000,2.6707075096
-2.6400000000,2.6997795813
-2.6100000000,2.7235117210
-2.5800000000,2.7371041967
-2.5500000000,2.7366630224
-2.5200000000,2.7195477963
-2.4900000000,2.6846075598
-2.4600000000,2.6322836096
-2.4300000000,2.5645700777
-2.4000000000,2.4848358015
-2.3700000000,2.3975233958
-2.3400000000,2.3077524071
-2.3100000000,2.2208619999
-2.2800000000,2.1419340248
-2.2500000000,2.0753390720
-2.2200000000,2.0243460597
-2.1900000000,1.9908302312
-2.1600000000,1.9751056450
-2.1300000000,1.9758971209
-2.1000000000,1.9904541480
-2.0700000000,2.0147965798
-2.0400000000,2.0440701687
-2.0100000000,2.0729801815
-1.9800000000,2.0962643624
-1.9500000000,2.1091629940
-1.9200000000,2.1078440693
-1.8900000000,2.0897455934
-1.8600000000,2.0538044386
-1.8300000000,2.0005513104
-1.8000000000,1.9320633416
-1.7700000000,1.8517785479
-1.7400000000,1.7641887200
-1.7100000000,1.6744381858
-1.6800000000,1.5878642825
-1.6500000000,1.5095205885
-1.6200000000,1.4437255019
-1.5900000000,1.3936764913
-1.5600000000,1.3611644750
-1.5300000000,1.3464138439
-1.5000000000,1.3480624174
-1.4700000000,1.3632831227
-1.4400000000,1.3880365288
-1.4100000000,1.4174316770
-1.3800000000,1.4461629756
-1.3500000000,1.4689841327
-1.3200000000,1.4811767915
-1.2900000000,1.4789720076
-1.2600000000,1.4598869171
-1.2300000000,1.4229465236
-1.2000000000,1.3687707917
-1.1700000000,1.2995192677
-1.1400000000,1.2186981733
-1.1100000000,1.1308472054
-1.0800000000,1.0411340187
-1.0500000000,0.9548926144
-1.0200000000,0.8771468696
-0.9900000000,0.8121617695
-0.9600000000,0.7630624288
-0.9300000000,0.7315549349
-0.9000000000,0.7177739476
-0.8700000000,0.7202706709
-0.8400000000,0.7361422692
-0.8100000000,0.7612911693
-0.7800000000,0.7907910841
-0.7500000000,0.8193270636
-0.7200000000,0.8416702629
-0.6900000000,0.8531450200
-0.6600000000,0.8500465184
-0.6300000000,0.8299717273
-0.6000000000,0.7920340573
-0.5700000000,0.7369425570
-0.5400000000,0.6669385752
-0.5100000000,0.5855955485
-0.4800000000,0.4974997967
-0.4500000000,0.4078408401
-0.4200000000,0.3219478357
-0.3900000000,0.2448135392
-0.3600000000,0.1806483167
-0.3300000000,0.1325040460
-0.3000000000,0.1020015007
-0.2700000000,0.0891855716
-0.2400000000,0.0925212569
-0.2100000000,0.1090307791
-0.1800000000,0.1345595811
-0.1500000000,0.1641474403
-0.1200000000,0.1924715509
-0.0900000000,0.2143219937
-0.0600000000,0.2250671230
-0.0300000000,0.2210672978
0.0000000000,0.2000000000
0.0300000000,0.2210672978
0.0600000000,0.2250671230
0.0900000000,0.2143219937
0.1200000000,0.1924715509
0.1500000000,0.1641474403
0.1800000000,0.1345595811
0.2100000000,0.1090307791
0.2400000000,0.0925212569
0.2700000000,0.0891855716
0.3000000000,0.1020015007
0.3300000000,0.1325040460
0.3600000000,0.1806483167
0.3900000000,0.2448135392
0.4200000000,0.3219478357
0.4500000000,0.4078408401
0.4800000000,0.4974997967
0.5100000000,0.5855955485
0.5400000000,0.6669385752
0.5700000000,0.7369425570
0.6000000000,0.7920340573
0.6300000000,0.8299717273
0.6600000000,0.8500465184
0.6900000000,0.8531450200
0.7200000000,0.8416702629
0.7500000000,0.8193270636
0.7800000000,0.7907910841
0.8100000000,0.7612911693
0.8400000000,0.7361422692
0.8700000000,0.7202706709
0.9000000000,0.7177739476
0.9300000000,0.7315549349
0.9600000000,0.7630624288
0.9900000000,0.8121617695
1.0200000000,0.8771468696
1.0500000000,0.9548926144
1.0800000000,1.0411340187
1.1100000000,1.1308472054
1.1400000000,1.2186981733
1.1700000000,1.2995192677
1.2000000000,1.3687707917
1.2300000000,1.4229465236
1.2600000000,1.4598869171
1.2900000000,1.4789720076
1.3200000000,1.4811767915
1.3500000000,1.4689841327
1.3800000000,1.4461629756
1.4100000000,1.4174316770
1.4400000000,1.3880365288
1.4700000000,1.3632831227
1.5000000000,1.3480624174
1.5300000000,1.3464138439
1.5600000000,1.3611644750
1.5900000000,1.3936764913
1.6200000000,1.4437255019
1.6500000000,1.5095205885
1.6800000000,1.5878642825
1.7100000000,1.6744381858
1.7400000000,1.7641887200
1.7700000000,1.8517785479
1.8000000000,1.9320633416
1.8300000000,2.0005513104
1.8600000000,2.0538044386
1.8900000000,2.0897455934
1.9200000000,2.1078440693
1.9500000000,2.1091629940
1.9800000000,2.0962643624
2.0100000000,2.0729801815
2.0400000000,2.0440701687
2.0700000000,2.0147965798
2.1000000000,1.9904541480
2.1300000000,1.9758971209
2.1600000000,1.9751056450
2.1900000000,1.9908302312
2.2200000000,2.0243460597
2.2500000000,2.0753390720
2.2800000000,2.1419340248
2.3100000000,2.2208619999
2.3400000000,2.3077524071
2.3700000000,2.3975233958
2.4000000000,2.4848358015
2.4300000000,2.5645700777
2.4600000000,2.6322836096
2.4900000000,2.6846075598
2.5200000000,2.7195477963
2.5500000000,2.7366630224
2.5800000000,2.7371041967
2.6100000000,2.7235117210
2.6400000000,2.6997795813
2.6700000000,2.6707075096
2.7000000000,2.6415722383
2.7300000000,2.6176561448
2.7600000000,2.6037753934
2.7900000000,2.6038497208
2.8200000000,2.6205522982
2.8500000000,2.6550709449
2.8800000000,2.7070020234
2.9100000000,2.7743864960
2.9400000000,2.8538849190
2.9700000000,2.9410757458
3.0000000000,3.0308502900
