x,f(x)
-5.0000000000,49.0000000000
-4.9500000000,48.3025000000
-4.9000000000,47.6100000000
-4.8500000000,46.9225000000
-4.8000000000,46.2400000000
-4.7500000000,45.5625000000
-4.7000000000,44.8900000000
-4.6500000000,44.2225000000
-4.6000000000,43.5600000000
-4.5500000000,42.9025000000
-4.5000000000,42.2500000000
-4.4500000000,41.6025000000
-4.4000000000,40.9600000000
-4.3500000000,40.3225000000
-4.3000000000,39.6900000000
-4.2500000000,39.0625000000
-4.2000000000,38.4400000000
-4.1500000000,37.8225000000
-4.1000000000,37.2100000000
-4.0500000000,36.6025000000
-4.0000000000,36.0000000000
-3.9500000000,35.4025000000
-3.9000000000,34.8100000000
-3.8500000000,34.2225000000
-3.8000000000,33.6400000000
-3.7500000000,33.0625000000
-3.7000000000,32.4900000000
-3.6500000000,31.9225000000
-3.6000000000,31.3600000000
-3.5500000000,30.8025000000
-3.5000000000,30.2500000000
-3.4500000000,29.7025000000
-3.4000000000,29.1600000000
-3.3500000000,28.6225000000
-3.3000000000,28.0900000000
-3.2500000000,27.5625000000
-3.2000000000,27.0400000000
-3.1500000000,26.5225000000
-3.1000000000,26.0100000000
-3.0500000000,25.5025000000
-3.0000000000,25.0000000000
-2.9500000000,24.5025000000
-2.9000000000,24.0100000000
-2.8500000000,23.5225000000
-2.8000000000,23.0400000000
-2.7500000000,22.5625000000
-2.7000000000,22.0900000000
-2.6500000000,21.6225000000
-2.6000000000,21.1600000000
-2.5500000000,20.7025000000
-2.5000000000,20.2500000000
-2.4500000000,19.8025000000
-2.4000000000,19.3600000000
-2.3500000000,18.9225000000
-2.3000000000,18.4900000000
-2.2500000000,18.0625000000
-2.2000000000,17.6400000000
-2.1500000000,17.2225000000
-2.1000000000,16.8100000000
-2.0500000000,16.4025000000
-2.0000000000,16.0000000000
-1.9500000000,15.6025000000
-1.9000000000,15.2100000000
-1.8500000000,14.8225000000
-1.8000000000,14.4400000000
-1.7500000000,14.0625000000
-1.7000000000,13.6900000000
-1.6500000000,13.3225000000
-1.6000000000,12.9600000000
-1.5500000000,12.6025000000
-1.5000000000,12.2500000000
-1.4500000000,11.9025000000
-1.4000000000,11.5600000000
-1.3500000000,11.2225000000
-1.3000000000,10.8900000000
-1.2500000000,10.5625000000
-1.2000000000,10.2400000000
-1.1500000000,9.9225000000
-1.1000000000,9.6100000000
-1.0500000000,9.3025000000
-1.0000000000,9.0000000000
-0.9500000000,8.7025000000
-0.9000000000,8.4100000000
-0.8500000000,8.1225000000
-0.8000000000,7.8400000000
-0.7500000000,7.5625000000
-0.7000000000,7.2900000000
-0.6500000000,7.0225000000
-0.6000000000,6.7600000000
-0.5500000000,6.5025000000
-0.5000000000,6.2500000000
-0.4500000000,6.0025000000
-0.4000000000,5.7600000000
-0.3500000000,5.5225000000
-0.3000000000,5.2900000000
-0.2500000000,5.0625000000
-0.2000000000,4.8400000000
-0.1500000000,4.6225000000
-0.1000000000,4.4100000000
-0.0500000000,4.2025000000
0.0000000000,4.0000000000
0.0500000000,3.8025000000
0.1000000000,3.6100000000
0.1500000000,3.4225000000
0.2000000000,3.2400000000
0.2500000000,3.0625000000
0.3000000000,2.8900000000
0.3500000000,2.7225000000
0.4000000000,2.5600000000
0.4500000000,2.4025000000
0.5000000000,2.2500000000
0.5500000000,2.1025000000
0.6000000000,1.9600000000
0.6500000000,1.8225000000
0.7000000000,1.6900000000
0.7500000000,1.5625000000
0.8000000000,1.4400000000
0.8500000000,1.3225000000
0.9000000000,1.2100000000
0.9500000000,1.1025000000
1.0000000000,1.0000000000
1.0500000000,0.9025000000
1.1000000000,0.8100000000
1.1500000000,0.7225000000
1.2000000000,0.6400000000
1.2500000000,0.5625000000
1.3000000000,0.4900000000
1.3500000000,0.4225000000
1.4000000000,0.3600000000
1.4500000000,0.3025000000
1.5000000000,0.2500000000
1.5500000000,0.2025000000
1.6000000000,0.1600000000
1.6500000000,0.1225000000
1.7000000000,0.0900000000
1.7500000000,0.0625000000
1.8000000000,0.0400000000
1.8500000000,0.0225000000
1.9000000000,0.0100000000
1.9500000000,0.0025000000
2.0000000000,0.0000000000
2.0500000000,0.0025000000
2.1000000000,0.0100000000
2.1500000000,0.0225000000
2.2000000000,0.0400000000
2.2500000000,0.0625000000
2.3000000000,0.0900000000
2.3500000000,0.1225000000
2.4000000000,0.1600000000
2.4500000000,0.2025000000
2.5000000000,0.2500000000
2.5500000000,0.3025000000
2.6000000000,0.3600000000
2.6500000000,0.4225000000
2.7000000000,0.4900000000
2.7500000000,0.5625000000
2.8000000000,0.6400000000
2.8500000000,0.7225000000
2.9000000000,0.8100000000
2.9500000000,0.9025000000
3.0000000000,1.0000000000
3.0500000000,1.1025000000
3.1000000000,1.2100000000
3.1500000000,1.3225000000
3.2000000000,1.4400000000
3.2500000000,1.5625000000
3.3000000000,1.6900000000
3.3500000000,1.8225000000
3.4000000000,1.9600000000
3.4500000000,2.1025000000
3.5000000000,2.2500000000
3.5500000000,2.4025000000
3.6000000000,2.5600000000
3.6500000000,2.7225000000
3.7000000000,2.8900000000
3.7500000000,3.0625000000
3.8000000000,3.2400000000
3.8500000000,3.4225000000
3.9000000000,3.6100000000
3.9500000000,3.8025000000
4.0000000000,4.0000000000
4.0500000000,4.2025000000
4.1000000000,4.4100000000
4.1500000000,4.6225000000
4.2000000000,4.8400000000
4.2500000000,5.0625000000
4.3000000000,5.2900000000
4.3500000000,5.5225000000
4.4000000000,5.7600000000
4.4500000000,6.0025000000
4.5000000000,6.2500000000
4.5500000000,6.5025000000
4.6000000000,6.7600000000
4.6500000000,7.0225000000
4.7000000000,7.2900000000
4.7500000000,7.5625000000
4.8000000000,7.8400000000
4.8500000000,8.1225000000
4.9000000000,8.4100000000
4.9500000000,8.7025000000
5.0000000000,9.0000000000
